"pos","pick","fitted_cost","n_cost","mean_cost","last_cost","var_cost","range_cost","fitted_points","last_points","n_points","mean_points","var_points","range_points","cluster","mean_cluster_cost","range_cluster_cost","mean_cluster_points","range_cluster_points","range_cluster_picks"
"RB",3,94.2956598415526,1,94,94,NA,"94, 94",13.4690340520708,14.2333333333333,5,15.8,13.3,"12.1, 20.1",4,97,"94, 100",13.7,"13.5, 13.9","2, 3"
"RB",4,88.4885324600955,4,83,84,618,"48, 105",13.1031456223827,14.94375,5,11.9,6.5,"9.2, 14.9",15,86,"83, 88",13,"12.8, 13.1","4, 5"
"RB",5,82.9508230932913,3,83.7,96,126.3,"74, 96",12.7993447958051,13.8777777777778,5,10.7,11.7,"6.6, 14.2",15,86,"83, 88",13,"12.8, 13.1","4, 5"
"RB",6,77.6463617321064,1,81,81,NA,"81, 81",12.5434288510849,5.48,5,12.9,24,"5.5, 18.7",6,75,"73, 78",12.4,"12.3, 12.5","6, 7"
"RB",7,72.6623583900171,3,78.3,69,186.3,"69, 94",12.3459395783566,16.5684210526316,5,13.6,9.8,"10.7, 17.3",6,75,"73, 78",12.4,"12.3, 12.5","6, 7"
"RB",8,67.9931899909931,3,57,71,988,"21, 79",12.3639754230256,17.9944444444444,5,12.1,24.6,"6, 18",7,66,"63, 68",12.4,"12.4, 12.4","8, 9"
"RB",9,63.4634368917413,3,64.7,66,145.3,"52, 76",12.3867419252373,10.7214285714286,5,12.6,10.3,"7.9, 15.4",7,66,"63, 68",12.4,"12.4, 12.4","8, 9"
"RB",10,59.095420765066,4,60.5,73,205.7,"44, 73",12.0046959325021,6.16363636363636,5,10,9,"6.2, 12.8",10,57,"55, 59",11.8,"11.6, 12","10, 11"
"RB",11,54.8742216354924,4,61.2,62,20.9,"55, 66",11.5550849814449,18.1153846153846,5,14.2,25.6,"6.8, 18.6",10,57,"55, 59",11.8,"11.6, 12","10, 11"
"RB",12,50.5158385384743,4,45.5,57,160.3,"28, 57",11.1382297163908,10.68125,5,11,6.3,"8.1, 14.7",5,48,"46, 51",11,"10.8, 11.1","12, 13"
"RB",13,46.3213200267832,5,44.4,37,104.8,"35, 60",10.7763861419917,10.9583333333333,5,10,14.1,"4.5, 14.1",5,48,"46, 51",11,"10.8, 11.1","12, 13"
"RB",14,41.9503819566208,2,56,66,200,"46, 66",10.5276900203975,17.96875,5,10.1,27,"3.4, 18",9,40,"38, 42",10.5,"10.5, 10.6","14, 15"
"RB",15,37.9225421458106,4,36,69,600.7,"10, 69",10.5531075813966,5.14444444444444,5,9.6,17.2,"5.1, 16.4",9,40,"38, 42",10.5,"10.5, 10.6","14, 15"
"RB",16,34.9274361240848,5,31.4,43,542.8,"2, 64",10.6143703725134,6.475,5,11.4,32.8,"6.5, 20.4",8,31,"29, 35",10.3,"9.6, 10.8","16, 21"
"RB",17,32.5078020887873,4,33.8,37,69.6,"26, 44",10.7289190557629,6.85789473684211,5,11,8.1,"6.9, 14.1",8,31,"29, 35",10.3,"9.6, 10.8","16, 21"
"RB",18,31.3196582047699,4,29.8,22,533.6,"6, 61",10.7829683757774,9.86363636363637,5,10.3,1.8,"9.2, 12.6",8,31,"29, 35",10.3,"9.6, 10.8","16, 21"
"RB",19,30.4923540535927,4,32.2,20,257.6,"20, 55",10.4101095294875,4.37142857142857,5,11.5,17.9,"4.4, 14.6",8,31,"29, 35",10.3,"9.6, 10.8","16, 21"
"RB",20,29.8949143957135,5,28.8,35,17.2,"25, 35",9.96962523917262,5.14444444444444,5,11.1,13.7,"5.1, 13.8",8,31,"29, 35",10.3,"9.6, 10.8","16, 21"
"RB",21,29.1669818713252,5,29.2,30,48.7,"23, 40",9.5572940862689,9.61666666666667,5,7.2,9,"4.5, 11.1",8,31,"29, 35",10.3,"9.6, 10.8","16, 21"
"RB",22,27.1811353129869,5,30,44,77.5,"22, 44",9.06269528876842,9.05625,5,8.1,1.8,"6.7, 9.8",12,25,"22, 27",8.6,"8.2, 9.1","22, 24"
"RB",23,24.8461069619927,5,25.4,15,155.3,"11, 40",8.57234826373348,NA,5,9.9,3.6,"8.1, 12.2",12,25,"22, 27",8.6,"8.2, 9.1","22, 24"
"RB",24,21.7401572135134,5,19.2,15,32.2,"15, 29",8.21485733473645,10.75625,5,10.2,2.7,"7.7, 12.2",12,25,"22, 27",8.6,"8.2, 9.1","22, 24"
"RB",25,18.4850058702659,5,22.4,43,175.8,"7, 43",7.94895127093552,5.81666666666667,5,6.8,10.7,"3.4, 11.8",14,17,"16, 18",7.9,"7.8, 7.9","25, 26"
"RB",26,15.5989039974898,5,13,7,42,"7, 20",7.76249665302384,5.7125,5,6.9,8.5,"3, 10.7",14,17,"16, 18",7.9,"7.8, 7.9","25, 26"
"RB",27,13.646008150265,5,11.4,5,102.8,"1, 25",7.61959007293541,4.90625,5,7.5,9.5,"4.9, 11.9",2,12,"10, 14",7.7,"7.6, 7.8","27, 32"
"RB",28,12.2093998412822,5,15.2,1,84.2,"1, 23",7.63710622228312,1.51818181818182,5,7.5,17.3,"1.5, 11.6",2,12,"10, 14",7.7,"7.6, 7.8","27, 32"
"RB",29,11.601714925711,5,10.2,4,41.2,"4, 20",7.7024469883644,6.05333333333333,5,8.3,25.3,"4.8, 17",2,12,"10, 14",7.7,"7.6, 7.8","27, 32"
"RB",30,11.3049712537817,5,12,2,43.5,"2, 20",7.76887615563343,7.1,5,8,18,"3.7, 14.3",2,12,"10, 14",7.7,"7.6, 7.8","27, 32"
"RB",31,11.0596028285753,5,9.8,12,27.2,"2, 16",7.81582448648357,8.1,5,7.8,7.5,"4.2, 11.7",2,12,"10, 14",7.7,"7.6, 7.8","27, 32"
